,조사일,브랜드,생필품,식품,축산물
0,2020-10,(주)부산경남유통,9439.769053117783,3980.038728897716,4579.166666666667
1,2020-10,CU,6960.606060606061,3721.818181818182,
2,2020-10,GS25,10411.111111111111,4060.763358778626,9300.0
3,2020-10,GS수퍼마켓,8383.168517436197,3919.862443765803,8591.580061983472
4,2020-10,농협,8979.787941787941,3829.84769804063,6179.0142857142855
5,2020-10,롯데마트,,2259.7772277227723,5204.233333333334
6,2020-10,롯데백화점,,2317.0731707317073,6728.285714285715
7,2020-10,롯데슈퍼,8243.970338139086,4395.675693650688,7169.409338346709
8,2020-10,세븐일레븐,6887.073170731707,3921.0666666666666,
9,2020-10,신세계백화점,8876.498194945849,3913.8059338521402,8589.20634920635
10,2020-10,이마트,8931.61489237929,4266.591056104187,8613.266891891892
11,2020-10,현대백화점,9254.24680494448,4439.32648347272,6834.689265536723
