,조사일,브랜드,생필품,식품,축산물
0,2014-9,CU,7726.315789473684,3743.1944444444443,5050.0
1,2014-9,GS25,8137.5,3565.530303030303,
2,2014-9,GS수퍼마켓,9073.194285714286,4109.032703742568,6893.125
3,2014-9,농협,8897.604010025063,4349.390172849097,5006.071428571428
4,2014-9,롯데마트,9142.370639346389,4446.160858697251,5325.593667546174
5,2014-9,롯데백화점,8879.456335616438,4289.410166240409,6387.681818181818
6,2014-9,롯데슈퍼,8570.302473262032,4408.466114457831,5668.431372549019
7,2014-9,세븐일레븐,7750.0,2818.4210526315787,
8,2014-9,신세계백화점,8861.67192429022,3962.313769751693,7889.0
9,2014-9,이마트,10018.253550762756,3998.518830373546,6123.003095975232
10,2014-9,현대백화점,8785.257417102966,4459.689138576779,5820.37037037037
11,2014-9,홈플러스,7315.588166510758,3873.511578765794,5574.740484429066
