,조사일,브랜드,생필품,식품,축산물
0,2019-4,CU,6443.75,3515.7246376811595,
1,2019-4,GS25,850.0,3507.6070528967252,9300.0
2,2019-4,GS수퍼마켓,8244.291439290586,3458.507177841581,8383.014218009479
3,2019-4,농협,8840.414165666267,3931.99406779661,6637.906976744186
4,2019-4,롯데마트,9118.605367037266,4059.2215516772685,6845.572649572649
5,2019-4,롯데백화점,9608.333333333334,4725.238095238095,8773.75
6,2019-4,롯데슈퍼,9101.219836950175,4469.517084326459,7014.702132107023
7,2019-4,신세계백화점,9203.984962406015,4450.023041474655,10567.80487804878
8,2019-4,이마트,9571.216287990557,4615.529130351104,8204.969512195123
9,2019-4,현대백화점,8815.361155698234,4337.754499852464,8806.888888888889
