,조사일,브랜드,생필품,식품,축산물
0,2014-3,CU,7861.8421052631575,3716.9444444444443,5050.0
1,2014-3,GS25,7538.888888888889,4007.168458781362,
2,2014-3,GS수퍼마켓,9323.708381171067,4118.6193398222595,6627.5
3,2014-3,농협,8799.802173098538,4331.61760148745,4730.6024096385545
4,2014-3,롯데마트,8712.228535353535,4468.919270833333,6128.8
5,2014-3,롯데백화점,8854.173806609548,4171.09303391384,6294.333333333333
6,2014-3,롯데슈퍼,8880.547408160302,4326.816152597403,5043.645833333333
7,2014-3,세븐일레븐,7750.0,2782.8947368421054,
8,2014-3,신세계백화점,8386.02853745541,4083.219373219373,6715.060240963855
9,2014-3,이마트,12544.666749719696,4523.50831726133,4820.0
10,2014-3,현대백화점,8940.230515916575,4424.494310423304,5820.48
11,2014-3,홈플러스,7312.584932230241,4012.3263191971514,6623.656884875846
