,조사일,브랜드,생필품,식품,축산물
0,2015-2,CU,7979.166666666667,3218.041237113402,4300.0
1,2015-2,GS25,8137.5,3650.0,
2,2015-2,GS수퍼마켓,9165.950051759834,4507.987019586105,6447.64705882353
3,2015-2,농협,8977.363358111063,4252.623381497467,5314.324324324324
4,2015-2,롯데마트,9066.509856630824,4394.129961731823,6247.038369304556
5,2015-2,롯데백화점,8982.408274785324,4520.205389418337,6129.40594059406
6,2015-2,롯데슈퍼,8650.102951269731,4415.241421820423,5451.397849462365
7,2015-2,세븐일레븐,7750.0,2818.4210526315787,
8,2015-2,신세계백화점,9252.849604221636,3800.6331309627058,8093.658536585366
9,2015-2,이마트,11104.829903401933,4245.50500947739,5584.782608695652
10,2015-2,현대백화점,8729.675952245594,4539.962528103922,6471.604938271605
11,2015-2,홈플러스,7616.766426336553,3926.7974312438923,4499.121813031162
