,조사일,브랜드,생필품,식품,축산물
0,2017-3,CU,7084.090909090909,4142.695652173913,4300.0
1,2017-3,GS25,9453.125,4052.1739130434785,7875.0
2,2017-3,GS수퍼마켓,8587.63874614594,4342.7606287245535,7516.767371601209
3,2017-3,농협,8883.197448696617,4199.457033222256,7947.864864864865
4,2017-3,롯데마트,8105.482758620689,4422.80756856136,7030.823827629912
5,2017-3,롯데백화점,8913.114285714286,4690.977302155534,9576.805845511482
6,2017-3,롯데슈퍼,9001.888399771746,4765.100542261579,7392.143467122118
7,2017-3,세븐일레븐,3537.5,4020.0,4500.0
8,2017-3,신세계백화점,8989.260424862314,4312.451493598862,12450.454545454546
9,2017-3,이마트,9983.788868310752,4786.724406312242,8658.526539278131
10,2017-3,현대백화점,8880.835588633288,4512.190286425903,8633.445595854922
11,2017-3,홈플러스,7965.354338842975,3696.373213412846,7126.108294930876
