,조사일,브랜드,생필품,식품,축산물
0,2021-6,(주)부산경남유통,9615.24705882353,4096.4895936570865,6318.666666666667
1,2021-6,CU,6933.834586466165,3793.078231292517,
2,2021-6,GS25,10386.206896551725,4112.65306122449,9300.0
3,2021-6,농협,8564.599914420196,3925.398704789834,8552.57142857143
4,2021-6,롯데마트,12631.033333333333,4007.5068912710567,6014.129032258064
5,2021-6,롯데백화점,15690.0,4161.908713692946,6963.4
6,2021-6,롯데슈퍼,8403.628334714167,4206.538451060792,7508.066675812869
7,2021-6,세븐일레븐,7334.51282051282,4080.7504078303427,
8,2021-6,신세계백화점,8970.157367668096,4190.259940145361,8812.786885245901
9,2021-6,이마트,8767.449503119944,4553.053475935829,7761.650326797386
10,2021-6,현대백화점,7752.0,2323.0434782608695,6992.5
