,조사일,브랜드,생필품,식품,축산물
0,2014-6,CU,7730.263157894737,3723.6805555555557,5050.0
1,2014-6,GS25,8137.5,3528.3333333333335,
2,2014-6,GS수퍼마켓,9203.304247990814,4084.425639229422,6750.0
3,2014-6,농협,8885.1,4354.875,4968.939393939394
4,2014-6,롯데마트,9210.033542976938,4473.067373885566,5294.042338709677
5,2014-6,롯데백화점,8770.84463625154,4226.185064935065,6331.0091743119265
6,2014-6,롯데슈퍼,8750.601315789474,4349.207535885167,5113.482142857143
7,2014-6,세븐일레븐,7750.0,2790.0,
8,2014-6,신세계백화점,8844.300225733634,4040.830822212656,7871.454545454545
9,2014-6,이마트,10371.5662401981,4018.0704234007253,6051.595330739299
10,2014-6,현대백화점,8898.032490974729,4520.180940892642,5806.299212598426
11,2014-6,홈플러스,7911.231916215496,3905.5245434978824,5669.1875
