,조사일,브랜드,생필품,식품,축산물
0,2020-8,(주)부산경남유통,9406.458333333334,3964.1834677419356,5200.0
1,2020-8,CU,6960.606060606061,3717.847222222222,
2,2020-8,GS25,10411.111111111111,4077.0,9300.0
3,2020-8,GS수퍼마켓,8669.68444700247,3892.6875195618154,8340.739008179959
4,2020-8,농협,9331.141242937852,3844.161584297231,6114.054054054054
5,2020-8,롯데마트,,2478.526785714286,5169.443037974684
6,2020-8,롯데백화점,,2998.909090909091,8395.125
7,2020-8,롯데슈퍼,8150.45146147096,4380.584650045628,6936.156822380575
8,2020-8,세븐일레븐,6771.951219512195,4022.5454545454545,
9,2020-8,신세계백화점,9296.482558139534,3911.4436734693877,8745.235294117647
10,2020-8,이마트,8528.740337448116,4381.382689003436,9178.55625
11,2020-8,현대백화점,9324.8582278481,4339.205107159143,6960.924855491329
