,조사일,브랜드,생필품,식품,축산물
0,2015-6,CU,8142.424242424242,3232.4742268041236,4300.0
1,2015-6,GS25,8137.5,3644.53125,
2,2015-6,GS수퍼마켓,9145.92831747862,4511.25566512799,7065.069033530572
3,2015-6,농협,8850.913308205278,4182.374787498366,4896.315789473684
4,2015-6,롯데마트,8086.311414392059,4373.509719222462,5297.951388888889
5,2015-6,롯데백화점,8986.060267857143,4550.408983451537,6344.163568773234
6,2015-6,롯데슈퍼,8450.318137385586,4376.358236325945,5521.763085399449
7,2015-6,세븐일레븐,7750.0,2818.4210526315787,
8,2015-6,신세계백화점,9828.83642495784,4031.7496375060414,8335.409836065573
9,2015-6,이마트,11917.34791252485,4503.477076713572,6468.508287292818
10,2015-6,현대백화점,8695.76105442177,4560.0664084117325,6470.535714285715
11,2015-6,홈플러스,7152.129266082755,3608.0238500851788,5096.94623655914
