,조사일,브랜드,생필품,식품,축산물
0,2017-7,CU,5722.222222222223,2296.590909090909,
1,2017-7,GS25,9628.125,4055.4347826086955,7875.0
2,2017-7,GS수퍼마켓,8365.16351989211,4297.2918995142845,8128.384428223844
3,2017-7,농협,8742.357779300892,4235.185866166354,7071.68
4,2017-7,롯데마트,8151.264414736198,4495.184137505781,7088.516228748068
5,2017-7,롯데백화점,8828.370672097759,4778.272789987188,8123.430962343096
6,2017-7,롯데슈퍼,8858.81589377725,4801.981617875889,7468.292861500915
7,2017-7,신세계백화점,9125.180878552972,4360.474617244158,9908.920863309353
8,2017-7,이마트,10461.97027489149,4815.989508689971,9785.28484848485
9,2017-7,현대백화점,8397.970588235294,4541.883078821534,9358.125
10,2017-7,홈플러스,8018.691511873972,3732.19939222322,7593.615894039735
