,조사일,브랜드,생필품,식품,축산물
0,2020-4,(주)부산경남유통,9363.661971830987,3967.322453016815,4016.75
1,2020-4,CU,6946.564885496183,3705.6944444444443,
2,2020-4,GS25,10191.509433962265,4058.122605363985,9300.0
3,2020-4,GS수퍼마켓,8651.413801875136,4007.3097069492715,8216.67671366067
4,2020-4,농협,9235.958490566038,3806.195897913996,5563.879120879121
5,2020-4,롯데마트,,1599.9242902208202,4830.4607843137255
6,2020-4,롯데백화점,11939.245283018869,3698.7283582089553,6254.774193548387
7,2020-4,롯데슈퍼,8806.248662321237,4409.373277557722,6684.353862212944
8,2020-4,세븐일레븐,6986.370967741936,3980.284629981025,
9,2020-4,신세계백화점,9240.07702182285,4149.905203711174,8102.145695364238
10,2020-4,이마트,9068.22089227421,4290.605183567168,5876.362105263158
11,2020-4,현대백화점,9314.788287339372,4394.2462551956705,6718.343137254902
