,조사일,브랜드,생필품,식품,축산물
0,2021-8,(주)부산경남유통,9628.459119496856,4132.302543507363,8880.0
1,2021-8,CU,7202.380952380952,4128.810810810811,5800.0
2,2021-8,GS25,10386.206896551725,4149.375,9300.0
3,2021-8,농협,8288.131736526946,3970.0239374694675,7307.794117647059
4,2021-8,롯데마트,11446.439393939394,4177.622356495468,6156.225
5,2021-8,롯데백화점,16096.842105263158,4248.925619834711,7296.666666666667
6,2021-8,롯데슈퍼,8438.97022610253,4191.313781983506,7703.021082931383
7,2021-8,세븐일레븐,7362.795031055901,4048.730964467005,
8,2021-8,신세계백화점,8962.87037037037,4361.831207065751,9375.563218390804
9,2021-8,이마트,8438.541145956142,4575.460577155277,7729.4692982456145
10,2021-8,현대백화점,9466.05284888522,4518.456398996236,8351.42857142857
