,조사일,브랜드,생필품,식품,축산물
0,2019-3,CU,6698.913043478261,3505.281173594132,
1,2019-3,GS25,850.0,3636.289198606272,9300.0
2,2019-3,GS수퍼마켓,8886.524424284717,3399.926465667869,8823.213028169013
3,2019-3,농협,8864.99037668408,3904.803002394548,7194.7008547008545
4,2019-3,롯데마트,9271.85170083877,4066.406001819263,7020.260078023407
5,2019-3,롯데백화점,9243.46178142767,4489.182242990654,9666.622807017544
6,2019-3,롯데슈퍼,9069.075110351701,4397.520826983643,7464.348631405639
7,2019-3,신세계백화점,9212.368421052632,4395.420202020202,11930.361445783132
8,2019-3,이마트,9138.815432070347,4581.246910398763,7807.592519685039
9,2019-3,현대백화점,8723.243243243243,4341.043828382838,9152.058479532163
10,2019-3,홈플러스,,1686.3318965517242,5560.213483146067
