,조사일,브랜드,생필품,식품,축산물
0,2021-4,(주)부산경남유통,9535.262172284643,4018.5079239302695,5937.0
1,2021-4,CU,6880.882352941177,3789.4305239179953,
2,2021-4,GS25,10386.206896551725,4130.593607305936,9300.0
3,2021-4,농협,8603.860672614963,3892.152479860235,7256.060606060606
4,2021-4,롯데마트,11905.0,3630.66582278481,5201.877551020408
5,2021-4,롯데백화점,13316.064516129032,4145.040955631399,5566.0
6,2021-4,롯데슈퍼,8621.069569050767,4137.667846274893,7661.832082209751
7,2021-4,세븐일레븐,7203.783783783784,4090.665499124343,
8,2021-4,신세계백화점,9150.942562592047,3960.7086519114687,9983.626506024097
9,2021-4,이마트,8586.785526084665,4462.101517884843,9062.576449912127
10,2021-4,현대백화점,9372.434152166496,4495.759141943173,8013.336244541485
