,조사일,브랜드,생필품,식품,축산물
0,2021-7,CU,7202.380952380952,4125.027027027027,5800.0
1,2021-7,GS25,10386.206896551725,4135.882352941177,9300.0
2,2021-7,농협,8486.120996441281,3951.403472831919,7342.313432835821
3,2021-7,롯데마트,14933.6,3630.86568986569,6236.816326530612
4,2021-7,롯데백화점,15997.0,4049.61872909699,7608.153846153846
5,2021-7,롯데슈퍼,8737.375308880575,4187.187419899745,7600.825180387478
6,2021-7,세븐일레븐,7330.0,4172.848484848485,
7,2021-7,신세계백화점,8956.6015625,4170.2848596410495,9230.481481481482
8,2021-7,이마트,8521.919041328552,4549.116322656607,8199.405204460967
9,2021-7,현대백화점,9392.305510534847,4468.696847336543,7711.915094339623
