,조사일,브랜드,생필품,식품,축산물
0,2016-11,CU,6670.588235294118,3540.8898305084745,4300.0
1,2016-11,GS25,9164.0625,4050.769230769231,7200.0
2,2016-11,GS수퍼마켓,8584.188213224948,4322.029126688858,7505.70652173913
3,2016-11,농협,8855.811764705883,4140.131236579512,6355.789473684211
4,2016-11,롯데마트,9550.783819227277,4498.5797711080795,6730.065594059406
5,2016-11,롯데백화점,8806.23584083648,4727.917778538032,7865.271317829457
6,2016-11,롯데슈퍼,9066.676235080828,4676.833997099851,7156.445586174685
7,2016-11,세븐일레븐,6107.261904761905,4039.06914893617,4500.0
8,2016-11,신세계백화점,9040.372786579683,4309.536506800287,8005.675675675676
9,2016-11,이마트,10566.338435192123,4530.004110372435,9765.851674641148
10,2016-11,현대백화점,8547.113665389528,4485.562685402029,7061.012658227848
11,2016-11,홈플러스,8894.485253199777,3748.61035500988,5544.594254937163
