,조사일,브랜드,생필품,식품,축산물
0,2021-5,(주)부산경남유통,9553.536299765809,4116.317907444668,8880.0
1,2021-5,CU,6904.411764705882,3805.578231292517,
2,2021-5,GS25,9991.056910569107,4094.4814814814813,9300.0
3,2021-5,농협,8575.697125697126,3899.643004740489,7134.557692307692
4,2021-5,롯데마트,11695.714285714286,3858.1964285714284,6410.5
5,2021-5,롯데백화점,16108.235294117647,4186.023622047244,6980.0
6,2021-5,롯데슈퍼,8542.748730724354,4096.368591008746,7490.788795192401
7,2021-5,세븐일레븐,7234.093264248705,4150.231481481482,
8,2021-5,신세계백화점,9039.893292682927,4137.468901632113,8860.81081081081
9,2021-5,이마트,8331.561019625537,4459.647171606293,8507.5582010582
10,2021-5,현대백화점,9415.04647208841,4446.7654691689,7807.526315789473
