,조사일,브랜드,생필품,식품,축산물
0,2017-10,CU,6062.5,2296.590909090909,
1,2017-10,GS25,10445.454545454546,4451.697247706422,9500.0
2,2017-10,GS수퍼마켓,8423.170563961485,4377.710500190912,7926.41638225256
3,2017-10,농협,8991.810431293881,4245.372930304197,7707.389830508475
4,2017-10,롯데마트,8327.154471544716,4425.838639455782,7637.033639143731
5,2017-10,롯데백화점,9006.459081836327,4832.121503062407,9040.107913669064
6,2017-10,롯데슈퍼,8450.593739250085,4694.058132743091,6918.667307692308
7,2017-10,신세계백화점,9249.693094629156,4450.765714285714,11021.604938271605
8,2017-10,이마트,10763.410659509202,4840.14197992311,8351.258064516129
9,2017-10,현대백화점,8672.408045977012,4647.8431284916205,10310.0
10,2017-10,홈플러스,8396.59137577002,3672.5478239574586,6813.449404761905
