,조사일,브랜드,생필품,식품,축산물
0,2020-3,(주)부산경남유통,9404.751958224542,3996.128486055777,4957.666666666667
1,2020-3,CU,6798.449612403101,3548.2671480144404,
2,2020-3,GS25,9758.92857142857,4039.7709923664124,9300.0
3,2020-3,GS수퍼마켓,8747.148364825582,4008.347090402089,8370.777804759591
4,2020-3,농협,9265.19266055046,3797.274619230322,5812.682926829269
5,2020-3,롯데마트,,1823.110197368421,4871.472636815921
6,2020-3,롯데백화점,9066.990099009901,4075.2595693779904,7887.603305785124
7,2020-3,롯데슈퍼,8965.338105019318,4301.119131400926,6422.859651763762
8,2020-3,세븐일레븐,6871.736526946108,4021.9709208400645,
9,2020-3,신세계백화점,9543.966049382716,4126.456586192291,8269.0546875
10,2020-3,이마트,8803.324873096446,4233.333132115733,5379.9394736842105
11,2020-3,현대백화점,9348.783181142493,4386.759389024486,7174.5077720207255
