,조사일,브랜드,생필품,식품,축산물
0,2019-9,GS25,850.0,3462.935323383085,9300.0
1,2019-9,GS수퍼마켓,8102.586348023095,4659.023026975531,9683.751016719385
2,2019-9,농협,8964.22305764411,4051.6542835481428,5269.763636363637
3,2019-9,롯데마트,8193.591380145279,3994.4221440367633,7523.215803452856
4,2019-9,롯데백화점,8929.761904761905,4357.756363636364,7334.88679245283
5,2019-9,롯데슈퍼,8572.785238699158,4380.216778739513,6291.833822202166
6,2019-9,신세계백화점,6644.868421052632,4149.162087912088,8141.923076923077
7,2019-9,이마트,8639.960464837666,4494.0556629300345,8157.122699386503
8,2019-9,현대백화점,9226.502407250071,4473.233241700148,6938.0952380952385
9,2019-9,홈플러스,,1924.8587570621469,3638.8854166666665
