,조사일,브랜드,생필품,식품,축산물
0,2017-9,CU,5722.222222222223,2296.590909090909,
1,2017-9,GS25,9628.125,4048.913043478261,9900.0
2,2017-9,GS수퍼마켓,8327.572488199596,4317.351396589602,8865.137844611529
3,2017-9,농협,8844.937845303868,4229.398063200815,7320.693333333334
4,2017-9,롯데마트,7894.871847871021,4444.252582704585,6062.127659574468
5,2017-9,롯데백화점,8668.586572438162,4760.54392286716,9761.047619047618
6,2017-9,롯데슈퍼,8721.510889292196,4705.8311713006,6619.5317460317465
7,2017-9,신세계백화점,9107.679900744417,4354.105867870332,10807.479674796748
8,2017-9,이마트,10971.597422185658,4780.560977452128,8682.607655502392
9,2017-9,현대백화점,8609.520605550882,4535.381882497693,8857.908256880733
10,2017-9,홈플러스,8284.729930341442,3783.314603782619,5939.722513089006
