,조사일,브랜드,생필품,식품,축산물
0,2018-11,CU,6403.225806451613,3493.8518518518517,
1,2018-11,GS25,850.0,4085.3543307086616,9300.0
2,2018-11,GS수퍼마켓,9120.886573283226,3464.7811547947194,7545.068965517241
3,2018-11,농협,8695.712098009188,3828.9778007227674,6582.9655172413795
4,2018-11,롯데마트,9344.557276446523,4096.434814495255,6083.866120218579
5,2018-11,롯데백화점,8551.722222222223,4515.0672268907565,8325.714285714286
6,2018-11,롯데슈퍼,8906.060664419836,4660.359477124183,7474.816897347174
7,2018-11,신세계백화점,9938.333333333334,4320.841836734694,8549.0
8,2018-11,이마트,9175.11917543483,4604.2520471116095,9014.027777777777
9,2018-11,현대백화점,,3213.7555555555555,14682.142857142857
10,2018-11,홈플러스,,1950.0257731958764,5025.238095238095
