,조사일,브랜드,생필품,식품,축산물
0,2018-9,CU,6403.225806451613,3493.8518518518517,
1,2018-9,GS25,850.0,4064.375,9300.0
2,2018-9,GS수퍼마켓,9071.55294929286,3331.203535867703,9494.125214408234
3,2018-9,농협,8607.001665741254,3813.0149253731342,6291.508771929824
4,2018-9,롯데마트,8613.827586206897,4097.84538734897,6549.736405147364
5,2018-9,롯데백화점,9612.1,4650.673092369478,8723.163265306122
6,2018-9,롯데슈퍼,8579.424362317537,4624.0466136689065,8300.171082173327
7,2018-9,신세계백화점,8409.666666666666,4258.468539325842,11829.69696969697
8,2018-9,이마트,9750.911649619002,4580.10243911412,8403.477064220184
9,2018-9,현대백화점,8527.70588235294,4372.104328523862,9699.192307692309
