,조사일,브랜드,생필품,식품,축산물
0,2017-1,CU,6666.0,3555.508474576271,4300.0
1,2017-1,GS25,9453.125,4043.260073260073,7650.0
2,2017-1,GS수퍼마켓,8679.299387280795,4322.343578341616,6836.723716381418
3,2017-1,농협,8870.28502415459,4167.986724137931,6430.434782608696
4,2017-1,롯데마트,9175.620190426504,4528.473729895328,6378.855839416058
5,2017-1,롯데백화점,8918.350181965225,4553.929219330855,9028.233082706767
6,2017-1,롯데슈퍼,8899.459833795014,4679.735209474791,6844.981060606061
7,2017-1,세븐일레븐,3537.5,3989.4957983193276,4500.0
8,2017-1,신세계백화점,9153.4213836478,4251.807384341637,11113.307086614173
9,2017-1,이마트,9678.19073487249,4692.1532025248325,9446.489028213166
10,2017-1,현대백화점,8477.059819413093,4434.842554076539,7999.0495867768595
11,2017-1,홈플러스,7158.5724149836005,3550.473466361895,6028.902083333333
