,조사일,브랜드,생필품,식품,축산물
0,2016-6,CU,7082.35294117647,3730.567375886525,4300.0
1,2016-6,GS25,8838.235294117647,3999.120879120879,6650.0
2,2016-6,GS수퍼마켓,8384.17881200245,4368.286701964731,7019.45652173913
3,2016-6,농협,8684.228013029317,4083.9063793349505,6205.866666666667
4,2016-6,롯데마트,9047.369482676791,4195.470151371807,6801.9653179190755
5,2016-6,롯데백화점,8874.88796680498,4485.43055770122,7196.244131455399
6,2016-6,롯데슈퍼,8410.667010486504,4601.379542825229,6799.7899543379
7,2016-6,세븐일레븐,7158.888888888889,3937.387755102041,4500.0
8,2016-6,신세계백화점,9602.119402985074,4003.0828505214367,9040.0
9,2016-6,이마트,13902.89824468787,4441.779311368358,9028.189300411523
10,2016-6,현대백화점,8226.671354899203,4476.676238334529,7372.881355932203
11,2016-6,홈플러스,8018.602775088738,3540.928383681993,4461.59891598916
