,조사일,브랜드,생필품,식품,축산물
0,2018-2,CU,6280.645161290323,3360.817610062893,
1,2018-2,GS25,850.0,3963.956834532374,9300.0
2,2018-2,GS수퍼마켓,8231.256465260398,4335.470200838186,8751.930080116534
3,2018-2,농협,8813.179347826086,3728.8557022809123,7180.555555555556
4,2018-2,롯데마트,8159.2057799810145,3762.5564359267732,6950.27027027027
5,2018-2,롯데백화점,9201.634615384615,4500.217976552323,9169.739583333334
6,2018-2,롯데슈퍼,8695.36858888039,4331.942185174596,7965.197320117474
7,2018-2,세븐일레븐,6388.0,3954.1290322580644,
8,2018-2,신세계백화점,8078.72,3858.026525198939,9427.368421052632
9,2018-2,이마트,9585.651683280044,4234.342240240106,8031.04609929078
10,2018-2,현대백화점,8576.395431834404,4204.956046511628,8387.241379310344
11,2018-2,홈플러스,8285.948560641813,3889.9675299574797,5877.76404494382
