,조사일,브랜드,생필품,식품,축산물
0,2016-12,CU,6666.0,3549.576271186441,4300.0
1,2016-12,GS25,9443.125,4053.076923076923,7200.0
2,2016-12,GS수퍼마켓,8754.654295194789,4347.8881861482005,6916.066763425254
3,2016-12,농협,9070.67205076435,4214.762217359592,6182.4
4,2016-12,롯데마트,9149.970627727425,4565.361003275507,6168.790673575129
5,2016-12,롯데백화점,8927.287573964497,4647.239931370778,7849.844720496894
6,2016-12,롯데슈퍼,8740.632891288811,4690.466942828024,6327.374764595103
7,2016-12,세븐일레븐,6261.851851851852,4092.6890756302523,4500.0
8,2016-12,신세계백화점,9020.424564063685,4303.556201550387,9832.372881355932
9,2016-12,이마트,10010.915026912557,4628.276814293196,9558.324118207816
10,2016-12,현대백화점,8517.56547041707,4463.024712930604,7615.075376884422
11,2016-12,홈플러스,8497.146245874588,3655.785478608017,6213.646746347941
