,조사일,브랜드,생필품,식품,축산물
0,2016-1,CU,5738.636363636364,3547.109557109557,4300.0
1,2016-1,GS25,5416.666666666667,3784.8,
2,2016-1,GS수퍼마켓,8722.244435805229,4447.31668289968,6885.515151515152
3,2016-1,농협,8627.114413909141,4261.7643526303145,5616.666666666667
4,2016-1,롯데마트,8627.22137736259,4449.999063407324,5764.810810810811
5,2016-1,롯데백화점,9085.776247848537,4490.385922000271,6843.669354838709
6,2016-1,롯데슈퍼,8606.906458797328,4488.174965421854,6255.201612903225
7,2016-1,세븐일레븐,7750.0,2855.769230769231,
8,2016-1,신세계백화점,9480.429864253394,4184.845300642149,7343.2
9,2016-1,이마트,14870.219278209228,4441.31297521172,7992.660550458716
10,2016-1,현대백화점,8459.124236252546,4489.70744680851,5971.320754716981
11,2016-1,홈플러스,7233.307479952675,3739.73267583701,5711.491935483871
