,조사일,브랜드,생필품,식품,축산물
0,2019-10,GS25,850.0,3411.2676056338028,9300.0
1,2019-10,GS수퍼마켓,8108.383948545861,4547.016789410349,9520.93265993266
2,2019-10,농협,8537.007874015748,3734.8821256038646,4396.179487179487
3,2019-10,롯데마트,8151.9455572675915,3884.2489005764546,7425.139936102237
4,2019-10,롯데백화점,8387.741935483871,4180.706175298805,7098.821052631579
5,2019-10,롯데슈퍼,8269.753995626204,4292.307102366574,6304.447077980822
6,2019-10,신세계백화점,6827.708333333333,3969.15726681128,7965.6
7,2019-10,이마트,8075.400131681331,3982.252368054599,7531.378818737271
8,2019-10,현대백화점,8917.771213748658,4266.829930662558,7429.971153846154
9,2019-10,홈플러스,,1886.1738410596026,3677.375
