"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 02월 01일","8,280","8,260","8,350","8,260","20.18K","0.12%"
"2019년 01월 31일","8,270","8,395","8,405","8,245","19.51K","-0.36%"
"2019년 01월 30일","8,300","8,340","8,355","8,250","41.64K","-0.36%"
"2019년 01월 29일","8,330","8,265","8,330","8,200","12.30K","0.60%"
"2019년 01월 28일","8,280","8,380","8,380","8,250","54.27K","-0.48%"
"2019년 01월 25일","8,320","8,015","8,340","8,015","52.60K","3.94%"
"2019년 01월 24일","8,005","8,000","8,030","7,965","21.39K","-0.06%"
"2019년 01월 23일","8,010","7,970","8,070","7,955","19.07K","0.06%"
"2019년 01월 22일","8,005","8,080","8,155","7,985","18.96K","-0.62%"
"2019년 01월 21일","8,055","8,155","8,155","8,020","24.86K","-0.49%"
"2019년 01월 18일","8,095","8,110","8,175","8,090","32.70K","0.25%"
"2019년 01월 17일","8,075","8,285","8,285","8,065","40.50K","-2.36%"
"2019년 01월 16일","8,270","8,245","8,270","8,200","24.48K","0.67%"
"2019년 01월 15일","8,215","8,060","8,235","8,060","15.82K","1.86%"
"2019년 01월 14일","8,065","8,090","8,090","8,015","14.71K","-0.62%"
"2019년 01월 11일","8,115","8,140","8,240","8,100","29.37K","0.06%"
"2019년 01월 10일","8,110","8,105","8,165","8,040","19.30K","0.06%"
"2019년 01월 09일","8,105","7,890","8,140","7,890","26.35K","2.99%"
"2019년 01월 08일","7,870","7,990","7,990","7,840","22.84K","-0.88%"
"2019년 01월 07일","7,940","7,765","7,975","7,765","56.91K","4.89%"
"2019년 01월 04일","7,570","7,515","7,570","7,395","31.42K","0.00%"
"2019년 01월 03일","7,570","7,875","7,875","7,545","41.43K","-3.51%"
"2019년 01월 02일","7,845","8,235","8,235","7,805","51.75K","-3.74%"
