"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 04월 25일","8,705","8,720","8,735","8,665","6.93K","-0.40%"
"2019년 04월 24일","8,740","8,845","8,855","8,705","10.90K","-1.41%"
"2019년 04월 23일","8,865","8,865","8,870","8,830","4.61K","0.11%"
"2019년 04월 22일","8,855","8,880","8,925","8,820","4.90K","-0.06%"
"2019년 04월 19일","8,860","8,880","8,880","8,835","10.73K","0.06%"
"2019년 04월 18일","8,855","8,985","9,035","8,830","8.93K","-1.12%"
"2019년 04월 17일","8,955","8,940","9,000","8,925","6.10K","0.06%"
"2019년 04월 16일","8,950","8,935","8,950","8,880","23.77K","0.06%"
"2019년 04월 15일","8,945","8,970","9,005","8,930","12.51K","-0.06%"
"2019년 04월 12일","8,950","8,910","8,980","8,880","11.73K","0.34%"
"2019년 04월 11일","8,920","8,910","8,955","8,910","18.14K","0.28%"
"2019년 04월 10일","8,895","8,890","8,895","8,790","8.22K","-0.28%"
"2019년 04월 09일","8,920","8,950","8,950","8,845","10.91K","0.73%"
"2019년 04월 08일","8,855","8,790","8,885","8,790","13.61K","0.80%"
"2019년 04월 05일","8,785","8,830","8,830","8,735","22.58K","0.34%"
"2019년 04월 04일","8,755","8,790","8,835","8,725","33.93K","-0.28%"
"2019년 04월 03일","8,780","8,615","8,785","8,615","25.34K","1.56%"
"2019년 04월 02일","8,645","8,680","8,720","8,625","22.61K","-0.23%"
"2019년 04월 01일","8,665","8,525","8,680","8,525","28.03K","1.76%"
"2019년 03월 29일","8,515","8,515","8,515","8,325","24.53K","0.00%"
"2019년 03월 28일","8,515","8,650","8,650","8,500","26.60K","-2.01%"
"2019년 03월 27일","8,690","8,720","8,720","8,635","25.69K","-0.34%"
"2019년 03월 26일","8,720","8,750","8,765","8,695","12.52K","-0.11%"
"2019년 03월 25일","8,730","8,805","8,840","8,705","51.60K","-3.16%"
"2019년 03월 22일","9,015","9,080","9,115","8,980","20.25K","-0.72%"
"2019년 03월 21일","9,080","8,920","9,140","8,920","65.90K","3.24%"
"2019년 03월 20일","8,795","8,860","8,860","8,695","39.99K","-0.85%"
"2019년 03월 19일","8,870","8,835","8,940","8,835","33.64K","0.57%"
"2019년 03월 18일","8,820","8,920","8,930","8,810","24.32K","-1.07%"
"2019년 03월 15일","8,915","8,865","8,950","8,855","13.80K","0.34%"
"2019년 03월 14일","8,885","8,870","8,900","8,840","13.23K","0.51%"
"2019년 03월 13일","8,840","8,840","8,850","8,750","26.45K","-0.28%"
"2019년 03월 12일","8,865","8,825","8,890","8,825","34.58K","0.97%"
"2019년 03월 11일","8,780","8,860","8,860","8,670","37.86K","-1.01%"
