"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 02월 21일","134.14","132.72","134.19","132.72","670.30K","1.41%"
"2017년 02월 17일","132.27","130.92","132.29","130.48","332.13K","0.52%"
"2017년 02월 16일","131.59","131.52","131.81","130.75","310.19K","0.16%"
"2017년 02월 15일","131.38","130.74","131.51","130.07","234.62K","0.77%"
"2017년 02월 14일","130.37","130.78","130.78","129.56","202.79K","-0.28%"
"2017년 02월 13일","130.73","130.82","131.60","130.53","309.78K","0.21%"
"2017년 02월 10일","130.46","131.42","131.43","129.19","517.18K","-0.06%"
"2017년 02월 09일","130.54","132.04","132.05","130.38","452.70K","-0.87%"
"2017년 02월 08일","131.69","131.83","132.20","131.00","257.22K","0.19%"
"2017년 02월 07일","131.44","131.72","131.93","130.76","198.28K","0.37%"
"2017년 02월 06일","130.96","130.76","131.06","129.94","307.71K","0.35%"
"2017년 02월 03일","130.50","130.56","130.74","130.06","289.83K","0.52%"
"2017년 02월 02일","129.83","129.00","130.23","128.38","471.99K","-0.05%"
"2017년 02월 01일","129.89","129.24","129.95","128.59","597.57K","1.59%"
"2017년 01월 31일","127.86","128.80","128.88","127.07","484.99K","-1.30%"
"2017년 01월 30일","129.54","129.60","129.60","127.92","505.82K","-0.50%"
"2017년 01월 27일","130.19","129.25","130.23","129.25","325.83K","1.24%"
"2017년 01월 26일","128.59","129.57","129.57","128.03","421.04K","-0.56%"
"2017년 01월 25일","129.32","129.15","129.62","128.13","675.23K","1.48%"
"2017년 01월 24일","127.43","125.54","127.67","125.37","1.24M","1.94%"
"2017년 01월 23일","125.01","125.31","125.58","124.04","351.27K","-0.61%"
"2017년 01월 20일","125.78","125.44","126.55","125.29","643.35K","1.29%"
"2017년 01월 19일","124.18","124.55","125.58","124.10","909.21K","-0.45%"
"2017년 01월 18일","124.74","123.21","124.83","123.09","385.47K","1.37%"
"2017년 01월 17일","123.06","124.61","124.69","122.65","364.17K","-1.61%"
"2017년 01월 13일","125.07","124.44","125.37","124.29","283.15K","0.65%"
"2017년 01월 12일","124.26","124.63","124.95","122.38","451.55K","-0.84%"
"2017년 01월 11일","125.31","125.01","125.33","124.40","543.45K","0.34%"
"2017년 01월 10일","124.88","124.37","125.17","124.20","230.30K","0.48%"
"2017년 01월 09일","124.28","123.41","124.78","123.33","294.68K","1.06%"
"2017년 01월 06일","122.98","122.31","123.33","121.54","291.66K","0.80%"
"2017년 01월 05일","122.01","123.13","123.78","121.78","313.95K","-0.85%"
"2017년 01월 04일","123.06","123.33","123.66","122.49","451.37K","0.28%"
"2017년 01월 03일","122.72","123.14","124.48","121.67","884.70K","0.00%"
"2016년 12월 30일","122.72","125.10","125.66","122.32","1.13M","-1.55%"
"2016년 12월 29일","124.65","124.10","124.65","123.34","348.93K","-0.02%"
"2016년 12월 28일","124.67","127.81","127.91","124.60","579.49K","-1.90%"
"2016년 12월 27일","127.08","125.78","127.27","125.72","469.52K","1.23%"
"2016년 12월 23일","125.53","124.77","125.60","124.56","160.05K","0.51%"
"2016년 12월 22일","124.89","125.66","125.69","124.42","289.85K","0.48%"
"2016년 12월 21일","124.29","124.55","124.85","124.09","262.38K","-0.23%"
"2016년 12월 20일","124.58","124.64","124.82","124.04","718.89K","0.96%"
"2016년 12월 19일","123.40","122.51","123.87","122.36","415.19K","0.99%"
"2016년 12월 16일","122.19","124.17","124.42","121.64","491.36K","-1.01%"
"2016년 12월 15일","123.44","121.87","123.97","121.66","740.39K","1.71%"
"2016년 12월 14일","121.37","121.53","122.15","120.95","663.18K","-0.09%"
"2016년 12월 13일","121.48","120.50","122.27","120.34","334.73K","1.17%"
"2016년 12월 12일","120.08","120.55","120.76","119.12","697.88K","-0.78%"
"2016년 12월 09일","121.03","122.42","122.67","120.18","334.81K","-0.34%"
"2016년 12월 08일","121.44","120.71","122.15","120.56","420.93K","0.87%"
"2016년 12월 07일","120.39","117.89","120.68","117.50","433.48K","2.06%"
"2016년 12월 06일","117.96","116.68","118.09","116.68","484.99K","1.38%"
"2016년 12월 05일","116.35","115.95","116.72","115.19","373.50K","1.22%"
