"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 09월 17일","0.020","0.045","0.045","0.020","34.88K","-42.86%"
"2019년 09월 16일","0.035","0.030","0.035","0.030","14.30K","40.00%"
"2019년 09월 13일","0.025","0.025","0.025","0.025","8.50K","-16.67%"
"2019년 09월 11일","0.030","0.025","0.030","0.020","19.80K","0.00%"
"2019년 09월 10일","0.030","0.020","0.030","0.020","143.60K","0.00%"
"2019년 09월 06일","0.030","0.030","0.030","0.030","13.10K","-14.29%"
"2019년 09월 04일","0.035","0.040","0.040","0.035","24.00K","-12.50%"
"2019년 09월 03일","0.040","0.040","0.040","0.040","3.50K","0.00%"
"2019년 08월 30일","0.040","0.040","0.045","0.040","26.78K","-11.11%"
"2019년 08월 29일","0.045","0.045","0.045","0.045","1.40K","12.50%"
"2019년 08월 14일","0.040","0.040","0.040","0.040","1.00K","0.00%"
"2019년 08월 13일","0.040","0.040","0.040","0.040","7.10K","0.00%"
"2019년 08월 08일","0.040","0.045","0.045","0.040","9.50K","0.00%"
"2019년 08월 06일","0.040","0.040","0.040","0.040","10.02K","0.00%"
"2019년 07월 31일","0.040","0.040","0.040","0.040","1.90K","0.00%"
"2019년 07월 26일","0.040","0.040","0.040","0.040","1.00K","-20.00%"
"2019년 07월 24일","0.050","0.050","0.050","0.050","3.84K","25.00%"
"2019년 07월 23일","0.040","0.045","0.045","0.040","50.00K","0.00%"
"2019년 07월 22일","0.040","0.045","0.055","0.040","53.50K","0.00%"
"2019년 07월 18일","0.040","0.040","0.040","0.040","2.50K","-27.27%"
"2019년 07월 16일","0.055","0.050","0.055","0.050","10.20K","37.50%"
"2019년 07월 15일","0.040","0.040","0.040","0.040","3.50K","-11.11%"
"2019년 07월 11일","0.045","0.045","0.045","0.045","5.00K","-10.00%"
"2019년 07월 05일","0.050","0.050","0.050","0.050","3.00K","25.00%"
"2019년 07월 02일","0.040","0.040","0.040","0.040","2.48K","-20.00%"
"2019년 06월 28일","0.050","0.050","0.050","0.050","13.00K","11.11%"
"2019년 06월 27일","0.045","0.050","0.050","0.040","39.26K","0.00%"
"2019년 06월 26일","0.045","0.045","0.045","0.045","1.00K","12.50%"
"2019년 06월 25일","0.040","0.050","0.050","0.040","33.00K","-11.11%"
"2019년 06월 24일","0.045","0.045","0.045","0.045","3.00K","12.50%"
"2019년 06월 20일","0.040","0.040","0.040","0.040","48.02K","-11.11%"
"2019년 06월 19일","0.045","0.040","0.045","0.040","14.40K","12.50%"
"2019년 06월 18일","0.040","0.040","0.040","0.040","30.65K","0.00%"
"2019년 06월 17일","0.040","0.040","0.040","0.040","10.00K","0.00%"
"2019년 06월 13일","0.040","0.040","0.040","0.040","10.03K","-20.00%"
"2019년 06월 12일","0.050","0.050","0.050","0.050","3.92K","11.11%"
"2019년 06월 11일","0.045","0.050","0.050","0.045","2.00K","-25.00%"
"2019년 06월 10일","0.060","0.060","0.060","0.060","2.65K","20.00%"
"2019년 06월 07일","0.050","0.050","0.050","0.050","4.15K","11.11%"
"2019년 06월 04일","0.045","0.045","0.045","0.045","1.00K","12.50%"
"2019년 06월 03일","0.040","0.040","0.040","0.040","5.00K","-38.46%"
"2019년 05월 31일","0.065","0.065","0.065","0.065","21.31K","0.00%"
"2019년 05월 30일","0.065","0.060","0.065","0.060","28.52K","30.00%"
"2019년 05월 29일","0.050","0.050","0.050","0.050","1.51K","-23.08%"
"2019년 05월 28일","0.065","0.065","0.065","0.065","5.05K","18.18%"
"2019년 05월 22일","0.055","0.055","0.055","0.055","3.30K","-15.38%"
"2019년 05월 21일","0.065","0.050","0.065","0.050","31.76K","30.00%"
"2019년 05월 15일","0.050","0.045","0.050","0.045","35.06K","11.11%"
"2019년 05월 14일","0.045","0.040","0.045","0.040","26.40K","0.00%"
"2019년 05월 13일","0.045","0.065","0.065","0.040","108.00K","-35.71%"
"2019년 05월 09일","0.070","0.050","0.070","0.050","123.75K","40.00%"
"2019년 05월 08일","0.050","0.040","0.050","0.040","19.01K","25.00%"
"2019년 05월 07일","0.040","0.040","0.040","0.040","24.13K","-20.00%"
"2019년 05월 03일","0.050","0.050","0.050","0.050","3.09K","11.11%"
"2019년 05월 02일","0.045","0.045","0.045","0.045","81.00K","28.57%"
"2019년 05월 01일","0.035","0.035","0.035","0.035","125.00K","-22.22%"
"2019년 04월 30일","0.045","0.045","0.045","0.035","63.71K","12.50%"
"2019년 04월 29일","0.040","0.040","0.040","0.040","28.16K","-11.11%"
"2019년 04월 26일","0.045","0.045","0.045","0.045","174.00K","0.00%"
"2019년 04월 25일","0.045","0.045","0.045","0.045","2.91K","0.00%"
