"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 01월 25일","4.97","4.95","4.99","4.95","0.00K","-1.97%"
"2017년 01월 24일","5.07","5.19","5.19","5.19","0.00K","-4.52%"
"2017년 01월 23일","5.31","5.45","5.59","5.34","3.02K","-2.03%"
"2017년 01월 20일","5.42","5.15","5.57","5.15","1.79K","4.43%"
"2017년 01월 19일","5.19","4.90","4.95","4.90","0.02K","7.45%"
"2017년 01월 18일","4.83","4.96","4.96","4.93","0.02K","-3.21%"
"2017년 01월 17일","4.99","4.66","4.66","4.66","0.00K","6.40%"
"2017년 01월 16일","4.69","4.96","4.96","4.85","0.01K","-6.76%"
"2017년 01월 13일","5.03","5.10","5.18","5.01","2.31K","0.00%"
"2017년 01월 12일","5.03","5.54","5.54","5.08","0.00K","-8.71%"
"2017년 01월 11일","5.51","5.61","5.69","5.47","3.93K","0.36%"
"2017년 01월 10일","5.49","5.36","5.36","5.36","0.00K","4.57%"
"2017년 01월 09일","5.25","5.05","5.05","5.05","0.00K","4.37%"
"2017년 01월 06일","5.03","5.39","5.39","5.04","0.00K","-4.55%"
"2017년 01월 05일","5.27","5.79","5.83","5.33","1.09K","-7.54%"
"2017년 01월 04일","5.70","5.64","5.68","5.32","0.05K","5.36%"
"2017년 01월 03일","5.41","6.05","6.05","5.44","1.56K","-11.46%"
"2017년 01월 02일","6.11","6.48","6.48","6.36","0.03K","-6.57%"
"2016년 12월 30일","6.54","6.41","6.63","6.41","0.00K","3.15%"
"2016년 12월 29일","6.34","6.36","6.42","6.34","0.20K","0.32%"
"2016년 12월 28일","6.32","6.41","6.41","6.31","0.05K","0.00%"
"2016년 12월 27일","6.32","6.50","6.58","6.16","0.30K","1.61%"
"2016년 12월 23일","6.22","6.12","6.35","6.12","1.89K","2.47%"
"2016년 12월 22일","6.07","5.87","5.89","5.87","0.00K","4.66%"
"2016년 12월 21일","5.80","5.29","5.82","5.29","0.77K","10.90%"
"2016년 12월 20일","5.23","5.22","5.22","5.22","0.02K","2.75%"
"2016년 12월 19일","5.09","4.96","5.22","4.93","16.00K","3.25%"
"2016년 12월 16일","4.93","4.93","5.00","4.57","22.51K","1.86%"
"2016년 12월 15일","4.84","5.01","5.14","4.79","20.36K","-3.39%"
"2016년 12월 14일","5.01","5.03","5.19","4.88","25.67K","4.59%"
"2016년 12월 13일","4.79","4.84","4.92","4.70","23.63K","-1.64%"
"2016년 12월 12일","4.87","4.51","4.89","4.49","20.87K","9.19%"
"2016년 12월 09일","4.46","4.61","4.78","4.44","16.74K","-3.25%"
"2016년 12월 08일","4.61","4.27","4.65","4.24","16.37K","7.21%"
"2016년 12월 07일","4.30","4.49","4.62","4.27","19.14K","-4.44%"
"2016년 12월 06일","4.50","4.29","4.54","4.03","20.98K","2.97%"
"2016년 12월 05일","4.37","4.27","4.45","3.97","23.63K","1.63%"
"2016년 12월 02일","4.30","4.44","4.50","4.25","23.23K","-3.59%"
"2016년 12월 01일","4.46","4.62","4.65","4.40","15.00K","-2.62%"
"2016년 11월 30일","4.58","4.49","4.81","4.35","16.82K","0.44%"
"2016년 11월 29일","4.56","4.71","4.79","4.41","21.13K","-3.80%"
"2016년 11월 28일","4.74","4.99","4.99","4.99","0.00K","-5.20%"
"2016년 11월 25일","5.00","5.32","5.32","5.01","1.45K","-6.37%"
"2016년 11월 24일","5.34","5.35","5.35","5.35","0.00K","-0.93%"
"2016년 11월 23일","5.39","5.59","5.68","5.40","1.02K","-2.18%"
"2016년 11월 22일","5.51","5.58","5.58","5.49","1.72K","0.55%"
"2016년 11월 21일","5.48","5.47","5.47","5.47","0.00K","-1.79%"
"2016년 11월 18일","5.58","5.86","5.86","5.64","1.14K","-5.42%"
"2016년 11월 17일","5.90","5.74","5.80","5.74","0.00K","6.31%"
"2016년 11월 16일","5.55","5.84","5.84","5.56","1.29K","-3.31%"
"2016년 11월 15일","5.74","5.52","5.78","5.46","0.85K","6.10%"
"2016년 11월 14일","5.41","5.55","5.55","5.55","0.00K","-4.59%"
"2016년 11월 11일","5.67","5.70","5.70","5.70","0.00K","-4.22%"
"2016년 11월 10일","5.92","6.18","6.19","5.97","2.24K","-3.43%"
"2016년 11월 09일","6.13","6.00","6.19","5.88","0.83K","-0.33%"
"2016년 11월 08일","6.15","6.31","6.31","6.05","1.21K","-1.28%"
