,date,매출액,매출원가,매출총이익,영업이익,순이익,자산총계,매출총이익률,영업이익률,주당순이익EPS(달러),주가수익배수PER(배),총자산이익률ROA(%)
0,2021-12-31,53823.0,40217.0,13606.0,6523.0,5519.0,62131.0,25.279155751258752,12.119354179440016,4.9,192.3,9.7
1,2021-09-30,46848.0,36023.0,10825.0,4485.0,3468.0,57834.0,23.106642759562842,9.573514344262295,3.09,221.38,6.4
2,2021-06-30,41862.0,32634.0,9228.0,3290.0,2181.0,55146.0,22.043858391858965,7.8591562753810145,1.92,300.22,4.2
3,2021-03-31,35940.0,28329.0,7611.0,2305.0,1143.0,52972.0,21.176961602671117,6.413466889259878,1.0,560.91,2.4
4,2020-12-31,31536.0,24906.0,6630.0,1994.0,721.0,52148.0,21.02359208523592,6.322932521562659,0.64,927.75,1.7
5,2020-09-30,28176.0,22221.0,5955.0,1778.0,556.0,45691.0,21.135008517887563,6.310335036910845,0.52,718.98,1.4
6,2020-06-30,25708.0,20625.0,5083.0,1230.0,368.0,38135.0,19.772055391317878,4.7845028784814065,0.41,543.93,1.0
7,2020-03-31,26022.0,21285.0,4737.0,736.0,-144.0,37250.0,18.203827530551074,2.828375989547306,-0.15,-659.88,-0.4
8,2019-12-31,24578.0,20509.0,4069.0,-69.0,-862.0,34309.0,16.55545609895028,-0.2807388721620962,-0.98,-87.47,-2.7
9,2019-09-30,24420.0,20299.0,4121.0,-14.0,-827.0,32795.0,16.875511875511876,-0.057330057330057325,-0.95,-52.17,-2.7
10,2019-06-30,24941.0,20487.0,4454.0,141.0,-659.0,31873.0,17.858145222725632,0.5653341886852973,-0.76,-58.91,-2.2
11,2019-03-31,22593.0,18441.0,4152.0,-313.0,-969.0,28913.0,18.37737352277254,-1.3853848537157527,-1.14,-49.91,-3.3
12,2018-12-31,21461.0,17419.0,4042.0,-388.0,-976.0,29740.0,18.834164298028984,-1.807930664927077,-1.14,-58.56,-3.4
13,2018-09-30,17523.0,14485.0,3039.0,-1400.0,-1792.0,29263.0,17.342920732751242,-7.989499514923244,-2.14,-25.21,-6.3
14,2018-06-30,13684.0,11720.0,1964.0,-2352.0,-2722.0,27910.0,14.352528500438469,-17.187956737795968,-3.23,-21.39,-9.7
15,2018-03-31,12471.0,10460.0,2012.0,-1971.0,-2341.0,27271.0,16.133429556571247,-15.80466682703873,-2.79,-19.2,-8.5
16,2017-12-31,11759.0,9536.0,2223.0,-1632.0,-1962.0,28655.0,18.90466876435071,-13.878731184624543,-2.37,-26.67,-7.3
17,2017-09-30,10755.0,8536.0,2219.0,-1301.0,-1407.0,28107.0,20.63226406322641,-12.096699209669922,-1.7,-40.45,-5.5
18,2017-06-30,10069.0,7662.0,2407.0,-680.0,-766.0,26044.0,23.90505511967425,-6.753401529446817,-0.93,-77.53,-3.5
19,2017-03-31,8549.0,6535.0,2015.0,-677.0,-723.0,25054.0,23.570008188092174,-7.91905486021757,-0.94,-62.24,-4.0
20,2016-12-31,7000.0,5401.0,1599.0,-667.0,-675.0,22664.0,22.84285714285714,-9.528571428571428,-0.94,-47.46,-4.8
21,2016-09-30,5930.0,4547.0,1383.0,-661.0,-874.0,12592.0,23.322091062394605,-11.146711635750421,-1.31,-34.71,-8.4
22,2016-06-30,4568.0,3591.0,977.0,-930.0,-1126.0,11869.0,21.387915936952716,-20.359019264448335,-1.69,-25.26,-12.3
23,2016-03-31,4253.0,3337.0,916.0,-862.0,-1017.0,9192.0,21.53773806724665,-20.26804608511639,-1.56,-29.84,-13.0
24,2015-12-31,4046.0,3123.0,924.0,-717.0,-889.0,8068.0,22.837370242214533,-17.721206129510627,-1.39,-35.37,-12.6
25,2015-09-30,3788.0,2822.0,967.0,-531.0,-676.0,7547.0,25.527983104540652,-14.017951425554381,-1.06,-46.73,-10.4
26,2015-06-30,3703.0,2716.0,987.0,-387.0,-521.0,6468.0,26.65406427221172,-10.450985687280584,-0.83,-65.12,-8.7
27,2015-03-31,3518.0,2531.0,987.0,-245.0,-398.0,6120.0,28.055713473564523,-6.964184195565662,-0.64,-59.59,-7.1
28,2014-12-31,,,,,,,,,-0.47,-94.84,-5.6
29,2014-09-30,,,,,,,,,-0.33,-149.23,-4.7
30,2014-06-30,,,,,,,,,-0.27,-178.96,-4.7
31,2014-03-31,,,,,,,,,-0.22,-190.13,-4.9
32,2013-12-31,,,,,,,,,-0.12,-249.17,-3.9
33,2013-09-30,,,,,,,,,-0.27,-159.02,-9.4
34,2013-06-30,,,,,,,,,-0.42,-56.39,-17.8
35,2013-03-31,,,,,,,,,-0.57,-14.7,-30.7
36,2012-12-31,,,,,,,,,-0.74,-9.73,-45.8
37,2012-09-30,,,,,,,,,-0.74,-7.96,-50.7
38,2012-06-30,,,,,,,,,-0.65,-9.63,-46.4
39,2012-03-31,,,,,,,,,-0.57,-13.19,-41.9
