"날짜","종가","오픈","고가","저가","변동 %"
"2018년 11월 14일","1.1310","1.1290","1.1349","1.1262","0.17%"
"2018년 11월 13일","1.1291","1.1219","1.1296","1.1216","0.65%"
"2018년 11월 12일","1.1218","1.1331","1.1333","1.1214","-1.04%"
"2018년 11월 09일","1.1336","1.1364","1.1371","1.1315","-0.24%"
"2018년 11월 08일","1.1363","1.1425","1.1448","1.1352","-0.55%"
"2018년 11월 07일","1.1426","1.1427","1.1502","1.1395","-0.01%"
"2018년 11월 06일","1.1427","1.1406","1.1440","1.1389","0.18%"
"2018년 11월 05일","1.1407","1.1391","1.1425","1.1356","0.18%"
"2018년 11월 02일","1.1387","1.1408","1.1458","1.1372","-0.19%"
"2018년 11월 01일","1.1409","1.1311","1.1426","1.1306","0.86%"
"2018년 10월 31일","1.1312","1.1345","1.1363","1.1301","-0.28%"
"2018년 10월 30일","1.1344","1.1372","1.1387","1.1338","-0.25%"
"2018년 10월 29일","1.1373","1.1408","1.1418","1.1361","-0.26%"
"2018년 10월 26일","1.1403","1.1376","1.1422","1.1334","0.24%"
"2018년 10월 25일","1.1376","1.1392","1.1434","1.1355","-0.14%"
"2018년 10월 24일","1.1392","1.1470","1.1477","1.1378","-0.69%"
"2018년 10월 23일","1.1471","1.1466","1.1495","1.1438","0.05%"
"2018년 10월 22일","1.1465","1.1507","1.1552","1.1455","-0.43%"
"2018년 10월 19일","1.1515","1.1451","1.1536","1.1433","0.54%"
"2018년 10월 18일","1.1453","1.1500","1.1528","1.1448","-0.42%"
"2018년 10월 17일","1.1501","1.1575","1.1585","1.1495","-0.64%"
"2018년 10월 16일","1.1575","1.1580","1.1623","1.1564","-0.03%"
"2018년 10월 15일","1.1579","1.1559","1.1608","1.1537","0.14%"
"2018년 10월 12일","1.1563","1.1592","1.1611","1.1534","-0.27%"
"2018년 10월 11일","1.1594","1.1519","1.1600","1.1517","0.64%"
"2018년 10월 10일","1.1520","1.1491","1.1547","1.1479","0.26%"
"2018년 10월 09일","1.1490","1.1491","1.1504","1.1430","-0.02%"
