"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 08월 24일","81.44","79.90","82.28","79.69","17.13M","2.34%"
"2020년 08월 21일","79.58","80.00","80.64","78.90","11.19M","1.31%"
"2020년 08월 20일","78.55","79.64","80.00","78.10","12.27M","-1.38%"
"2020년 08월 19일","79.65","81.40","81.64","79.52","18.74M","-3.08%"
"2020년 08월 18일","82.18","84.01","84.51","81.80","16.16M","-0.89%"
"2020년 08월 17일","82.92","82.20","83.23","81.33","15.10M","1.21%"
"2020년 08월 14일","81.93","82.10","82.59","80.00","12.06M","0.16%"
"2020년 08월 13일","81.80","83.50","83.80","81.65","13.58M","-0.22%"
"2020년 08월 12일","81.98","81.18","81.98","78.45","22.10M","1.21%"
"2020년 08월 11일","81.00","81.90","83.20","80.95","19.42M","-1.20%"
"2020년 08월 10일","81.98","83.79","84.35","80.00","33.65M","-3.98%"
"2020년 08월 07일","85.38","87.60","88.76","83.81","24.60M","-3.78%"
"2020년 08월 06일","88.73","88.81","89.60","87.00","20.53M","0.66%"
"2020년 08월 05일","88.15","89.00","89.00","86.58","19.02M","-0.96%"
"2020년 08월 04일","89.00","86.95","91.00","86.88","38.40M","3.28%"
"2020년 08월 03일","86.17","85.41","86.50","84.40","28.03M","0.91%"
"2020년 07월 31일","85.39","84.96","86.66","83.46","25.81M","0.46%"
"2020년 07월 30일","85.00","87.02","87.63","84.30","22.45M","-2.22%"
"2020년 07월 29일","86.93","83.31","87.50","82.52","28.80M","3.60%"
"2020년 07월 28일","83.91","85.98","86.66","83.00","21.64M","0.47%"
"2020년 07월 27일","83.52","83.50","85.20","82.30","20.88M","0.63%"
"2020년 07월 24일","83.00","87.78","88.14","82.50","38.82M","-6.73%"
"2020년 07월 23일","88.99","86.06","89.00","85.58","32.73M","2.06%"
"2020년 07월 22일","87.19","86.00","89.48","85.50","26.95M","-1.02%"
"2020년 07월 21일","88.09","89.90","91.33","87.68","31.72M","1.06%"
"2020년 07월 20일","87.17","83.70","89.30","81.61","43.17M","6.84%"
"2020년 07월 17일","81.59","83.02","85.36","80.07","43.10M","-4.07%"
"2020년 07월 16일","85.05","94.40","95.50","85.05","56.05M","-10.00%"
"2020년 07월 15일","94.50","97.00","97.29","92.69","38.87M","-2.12%"
"2020년 07월 14일","96.55","97.90","97.91","90.58","53.64M","-1.38%"
"2020년 07월 13일","97.90","92.60","97.90","92.29","57.99M","10.00%"
"2020년 07월 10일","89.00","84.47","92.36","83.05","39.60M","5.38%"
"2020년 07월 09일","84.46","82.75","86.30","81.46","32.80M","2.07%"
"2020년 07월 08일","82.75","81.94","84.28","81.86","31.92M","-0.30%"
"2020년 07월 07일","83.00","84.76","88.50","83.00","46.67M","2.60%"
"2020년 07월 06일","80.90","79.33","81.59","77.41","46.12M","1.95%"
"2020년 07월 03일","79.35","73.30","79.35","73.23","45.54M","9.99%"
"2020년 07월 02일","72.14","72.63","74.61","71.80","21.41M","-0.46%"
"2020년 07월 01일","72.47","73.21","75.45","71.03","23.51M","0.93%"
"2020년 06월 30일","71.80","71.41","72.85","70.87","16.98M","1.70%"
"2020년 06월 29일","70.60","71.50","72.43","70.30","17.34M","-1.53%"
"2020년 06월 24일","71.70","71.10","73.06","70.76","19.67M","0.94%"
"2020년 06월 23일","71.03","67.57","72.09","67.00","26.04M","4.46%"
"2020년 06월 22일","68.00","66.60","68.78","66.29","19.63M","1.51%"
"2020년 06월 19일","66.99","66.69","68.68","66.30","22.06M","0.37%"
"2020년 06월 18일","66.74","63.80","66.76","62.94","27.90M","4.10%"
"2020년 06월 17일","64.11","64.00","64.11","62.36","14.44M","0.02%"
"2020년 06월 16일","64.10","63.80","64.46","63.13","21.41M","2.56%"
"2020년 06월 15일","62.50","62.50","63.88","61.25","19.57M","1.66%"
"2020년 06월 12일","61.48","61.40","61.93","60.63","17.55M","-2.16%"
"2020년 06월 11일","62.84","61.87","64.20","61.51","28.02M","2.93%"
"2020년 06월 10일","61.05","62.26","62.42","60.68","18.62M","-1.50%"
"2020년 06월 09일","61.98","63.00","64.41","61.69","20.44M","-1.29%"
"2020년 06월 08일","62.79","63.00","63.83","62.45","17.24M","-0.65%"
"2020년 06월 05일","63.20","61.00","63.28","60.33","26.55M","5.14%"
"2020년 06월 04일","60.11","60.48","61.20","59.71","10.57M","0.30%"
"2020년 06월 03일","59.93","60.79","61.05","59.48","14.64M","-1.75%"
"2020년 06월 02일","61.00","59.57","62.18","58.88","20.48M","2.81%"
"2020년 06월 01일","59.33","57.75","59.69","57.44","16.11M","3.34%"
"2020년 05월 29일","57.41","57.12","58.02","56.81","6.80M","-0.12%"
"2020년 05월 28일","57.48","57.35","58.23","56.40","8.63M","0.31%"
"2020년 05월 27일","57.30","59.60","59.95","57.07","11.36M","-1.72%"
"2020년 05월 26일","58.30","56.80","58.38","56.80","9.85M","3.15%"
"2020년 05월 25일","56.52","56.03","56.55","55.31","5.97M","0.87%"
"2020년 05월 22일","56.03","57.16","57.67","55.51","9.23M","-1.96%"
"2020년 05월 21일","57.15","59.11","59.37","57.01","12.10M","-3.15%"
"2020년 05월 20일","59.01","58.70","60.30","58.67","16.47M","1.36%"
"2020년 05월 19일","58.22","58.00","58.60","57.75","9.40M","1.82%"
"2020년 05월 18일","57.18","57.40","58.40","56.40","10.47M","-1.35%"
