"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 11월 01일","368.42","368.20","368.65","362.64","-","0.11%"
"2021년 10월 29일","368.03","364.98","368.09","362.59","-","0.80%"
"2021년 10월 28일","365.10","365.29","367.37","359.30","-","-0.07%"
"2021년 10월 27일","365.36","364.32","368.10","361.46","-","0.30%"
"2021년 10월 26일","364.28","363.15","369.64","362.81","-","0.28%"
"2021년 10월 25일","363.25","353.67","363.72","353.38","-","2.66%"
"2021년 10월 22일","353.83","353.68","356.25","351.56","-","-0.06%"
"2021년 10월 21일","354.03","357.56","357.73","352.23","-","-1.02%"
"2021년 10월 20일","357.67","355.90","361.02","355.76","-","0.50%"
"2021년 10월 19일","355.90","353.92","358.94","353.69","-","0.56%"
"2021년 10월 18일","353.93","346.38","354.07","346.20","-","2.15%"
"2021년 10월 15일","346.49","337.98","347.48","335.68","-","2.56%"
"2021년 10월 14일","337.84","333.84","338.27","333.80","-","1.29%"
"2021년 10월 13일","333.55","323.85","333.94","323.58","-","2.95%"
"2021년 10월 12일","324.00","326.27","326.95","320.33","-","-0.79%"
"2021년 10월 11일","326.58","323.80","328.83","322.85","-","0.82%"
"2021년 10월 08일","323.92","329.22","334.78","323.41","-","-1.66%"
"2021년 10월 07일","329.39","326.75","330.51","326.73","-","0.87%"
"2021년 10월 06일","326.53","329.99","330.70","324.05","-","-1.01%"
"2021년 10월 05일","329.85","328.45","330.56","325.54","-","0.45%"
"2021년 10월 04일","328.38","330.86","331.26","327.74","-","-0.67%"
"2021년 10월 01일","330.60","331.95","331.95","328.40","-","-0.37%"
"2021년 09월 30일","331.81","323.38","334.63","322.35","-","2.49%"
"2021년 09월 29일","323.74","327.82","327.83","321.07","-","-1.33%"
"2021년 09월 28일","328.09","335.45","336.01","327.42","-","-2.20%"
"2021년 09월 27일","335.48","335.94","342.16","332.35","-","-0.13%"
"2021년 09월 24일","335.92","335.82","341.09","333.45","-","-0.03%"
"2021년 09월 23일","336.01","330.53","336.73","330.38","-","1.51%"
"2021년 09월 22일","331.00","329.58","332.28","327.93","-","0.38%"
"2021년 09월 21일","329.74","329.27","330.55","328.24","-","0.05%"
"2021년 09월 20일","329.58","336.57","336.58","327.28","-","-2.18%"
"2021년 09월 17일","336.91","338.27","339.95","334.45","-","-0.42%"
"2021년 09월 16일","338.33","349.08","349.11","336.72","-","-3.04%"
"2021년 09월 15일","348.93","346.48","349.25","343.73","-","0.64%"
"2021년 09월 14일","346.70","338.04","348.47","337.02","-","2.57%"
"2021년 09월 13일","338.03","343.09","345.45","336.08","-","-1.55%"
"2021년 09월 10일","343.35","339.98","347.30","338.34","-","0.97%"
"2021년 09월 09일","340.05","340.03","342.95","334.38","-","0.05%"
"2021년 09월 08일","339.89","343.03","344.26","338.62","-","-0.96%"
"2021년 09월 07일","343.20","337.95","344.79","337.30","-","1.58%"
"2021년 09월 06일","337.87","331.14","338.20","330.37","-","1.97%"
"2021년 09월 03일","331.33","335.53","336.82","328.30","-","-1.24%"
